name,team,cost,pos,sel,g,a,cs,mins,ti,to
K. Mbappé,FRA,11,FWD,77,9,6,0,656,46222,11796
H. Kane,ENG,11,FWD,49,8,2,0,607,51788,22249
C. Ronaldo,POR,10,FWD,15,10,1,0,725,21933,27918
J. Bellingham,ENG,9.5,MID,44,0,1,1,320,30348,42336
K. De Bruyne,BEL,9.5,MID,20,0,0,1,1,27022,32135
R. Lewandowski,POL,9.5,FWD,3,3,2,0,750,2901,7834
P. Foden,ENG,9,MID,31,0,2,5,384,37596,37264
B. Fernandes,POR,9,MID,27,6,8,9,844,59857,19058
R. Lukaku,BEL,9,FWD,13,14,1,0,549,45522,26011
A. Griezmann,FRA,9,FWD,7,1,1,0,674,12226,16417
J. Musiala,GER,8.5,MID,17,0,0,0,0,21899,27217
B. Saka,ENG,8.5,MID,14,4,3,4,493,36816,28156
R. Leão,POR,8.5,FWD,10,1,2,0,396,14911,20596
B. Silva,POR,8.5,MID,6,3,4,8,676,9849,12034
Á. Morata,ESP,8.5,FWD,3,4,0,0,461,4710,10663
J. Félix,POR,8.5,FWD,2,3,1,0,512,1996,7836
D. Jota,POR,8.5,FWD,2,2,2,7,390,3047,6372
L. Trossard,BEL,8,MID,8,2,0,4,296,22255,24614
O. Dembélé,FRA,8,FWD,3,1,0,0,198,4235,8379
O. Giroud,FRA,8,FWD,3,3,1,0,288,3786,8481
R. Kolo Muani,FRA,8,FWD,1,1,0,0,419,1441,5976
F. Wirtz,GER,7.5,MID,38,0,0,0,0,61951,42659
K. Havertz,GER,7.5,FWD,16,0,0,0,0,45672,33677
L. Modrić,CRO,7.5,MID,12,0,0,6,680,11455,20522
F. Chiesa,ITA,7.5,FWD,9,2,0,0,142,18929,21231
C. Palmer,ENG,7.5,MID,8,0,0,2,65,12481,18297
A. Dovbyk,UKR,7.5,FWD,6,2,0,0,534,19059,17153
D. Olmo,ESP,7.5,MID,6,2,0,2,111,9375,19930
R. Højlund,DEN,7.5,FWD,6,7,1,0,595,11548,13825
C. Gakpo,NED,7.5,FWD,4,3,0,0,273,6793,11848
C. Immobile,ITA,7.5,FWD,3,0,0,0,0,3946,9954
L. Pellegrini,ITA,7.5,MID,3,0,1,0,69,3610,10446
M. Depay,NED,7.5,FWD,3,1,0,0,101,4948,7205
K. Coman,FRA,7.5,MID,3,2,2,0,216,4319,11009
J. Grealish,ENG,7.5,MID,2,0,0,0,0,1254,8458
M. Oyarzabal,ESP,7.5,MID,2,1,2,4,207,4023,7539
G. Raspadori,ITA,7.5,FWD,1,1,1,4,506,889,4326
A. Kramarić,CRO,7.5,FWD,1,4,0,0,468,938,3217
J. Maddison,ENG,7.5,MID,1,0,0,0,0,425,7318
O. Watkins,ENG,7.5,FWD,1,0,0,0,90,799,2704
F. Torres,ESP,7.5,FWD,1,3,1,0,272,1683,2593
D. Vlahović,SRB,7.5,FWD,1,3,1,3,417,1546,3017
A. Budimir,CRO,7.5,FWD,0,1,0,0,26,110,1004
D. Szoboszlai,HUN,7,MID,16,4,5,3,720,47171,33144
X. Simons,NED,7,MID,15,0,0,5,691,34188,41287
I. Gundogan,GER,7,MID,10,0,0,0,0,37085,21816
L. Sane,GER,7,MID,9,0,0,0,0,17177,25465
N. Barella,ITA,7,MID,7,0,4,2,571,12766,18103
J. Doku,BEL,7,FWD,7,0,4,0,408,16575,14468
K. Kvaratskhelia,GEO,7,MID,4,4,1,2,824,9572,11912
C. Eriksen,DEN,7,MID,3,1,3,3,540,6380,10694
N. Fullkrug,GER,7,FWD,3,0,0,0,0,5506,7524
N. Williams,ESP,7,MID,3,1,3,1,222,5029,7248
M. Mudryk,UKR,7,MID,3,2,2,3,718,8113,9999
M. Pašalić,CRO,7,MID,2,2,2,5,310,709,7165
P. Schick,CZE,7,FWD,2,0,0,0,0,4212,6452
A. Mitrović,SRB,7,FWD,2,5,1,0,592,3593,4832
P. Neto,POR,7,MID,2,0,0,2,40,1865,8023
G. Scamacca,ITA,7,FWD,2,1,0,0,271,4837,5390
M. Daramy,DEN,7,MID,1,0,1,2,450,577,7046
M. Rashford,ENG,7,FWD,1,2,0,0,270,1369,3760
Joselu,ESP,7,FWD,1,4,2,0,235,2171,3897
B. Šeško,SVN,7,FWD,1,5,2,0,754,3946,4126
G. Ramos,POR,7,FWD,1,3,0,0,274,2607,3929
D. Malen,NED,7,FWD,1,0,1,0,156,873,1872
R. Orsolini,ITA,7,MID,1,0,0,3,100,391,5279
P. Gross,GER,7,MID,1,0,0,0,0,447,4840
Y. Carrasco,BEL,7,MID,1,1,3,5,517,1444,2272
L. Openda,BEL,7,FWD,1,0,0,6,141,2104,2822
T. Muller,GER,7,FWD,1,0,0,0,0,810,1572
S. Gnabry,GER,7,FWD,1,0,0,0,0,1118,2591
C. Nkunku,FRA,7,MID,1,0,0,0,0,696,2128
M. Thuram,FRA,7,FWD,1,2,0,0,161,1030,1694
J. Bowen,ENG,7,FWD,0,0,0,0,0,378,1200
J. Wind,DEN,7,FWD,0,3,3,0,602,284,1020
A. Milik,POL,7,FWD,0,0,0,0,0,84,398
M. Arnautović,AUT,7,FWD,0,2,0,0,222,278,729
S. Berghuis,NED,7,FWD,0,0,0,0,0,63,316
S. Bergwijn,NED,7,FWD,0,0,1,2,89,260,654
K. Aktürkoğlu,TUR,7,FWD,0,2,0,0,592,555,1014
J. Bakayoko,BEL,7,FWD,0,1,2,0,327,298,510
D. Undav,GER,7,FWD,0,0,0,0,0,124,392
M. Asensio,ESP,7,MID,0,0,1,1,45,323,1096
Rodri,ESP,6.5,MID,25,0,1,4,455,65590,36753
L. Yamal,ESP,6.5,FWD,11,2,1,3,275,23629,21735
T. Kroos,GER,6.5,MID,10,0,0,0,0,16782,13340
S. McTominay,SCO,6.5,MID,9,7,1,4,652,19102,20798
H. Çalhanoğlu,TUR,6.5,MID,6,0,0,0,0,24524,17070
J. Kimmich,GER,6.5,MID,5,0,0,0,0,6975,8737
D. Rice,ENG,6.5,MID,5,1,0,4,693,10211,11485
F. de Jong,NED,6.5,MID,4,0,0,0,0,5103,7711
J. McGinn,SCO,6.5,MID,2,3,2,0,568,3036,4574
